# Server2 source-like file fingerprint
# Snapshot: 2026-09-26 KST; read-only Slurm probe (server2)
# Root: /home/kimhj/repairable-state-discovery
# Included: *.py, *.sh, *.yaml, *.yml, *.json smaller than 16 MiB
# Excluded: results/, outputs/, cache/, model/, .venv/, .git/ and files >=16 MiB
relative_path,size_bytes,mtime_utc,sha256
repairable_diffusion/src/analysis/predictor.py,7225,2026-09-17T12:15:05.8825181350Z,b393d720581248e2fa75e115a5aa199224971d780353e2a695871dbdecf28989
repairable_diffusion/src/analysis/render_tables.py,3970,2026-09-17T12:15:05.8825181350Z,40377f8158a039d8f812b11f8bfc46ec3d67b126e5c29c4ae09a11997a0b8959
repairable_diffusion/src/backends/__init__.py,1,2026-09-17T12:15:05.8825181350Z,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
repairable_diffusion/src/backends/dream.py,19084,2026-09-17T12:15:05.8825181350Z,a014bb381d03e0e77775763c8ec0d6dc8e9f69a3ef35df8eaaa21994a71af91d
repairable_diffusion/src/backends/factory.py,702,2026-09-17T12:15:05.8825181350Z,9cc47f563cd4a95744e1c854cc0f1ec481e19d40b40ce0919677f1227fe2604b
repairable_diffusion/src/backends/rfba_llada.py,15316,2026-09-17T12:15:05.8825181350Z,da7481987c9a4e9ef60bf56519c883ba23771c1f588d6665da88117de3e05b01
repairable_diffusion/src/backends/transformers_causal.py,3677,2026-09-17T12:15:05.8825181350Z,a6a89e2563b190e7fdc905b4a2da0bd5d231f3492573066ba04c8b9038ba7d8b
repairable_diffusion/src/collect/__init__.py,1,2026-09-17T12:15:05.8825181350Z,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
repairable_diffusion/src/collect/trajectory_logging.py,2842,2026-09-17T12:15:05.8825181350Z,f5b6e33f64121a755321578bdf20fb5578cfe93cd51582c927e90c408a667b3a
repairable_diffusion/src/data/__init__.py,1,2026-09-17T12:15:05.8825181350Z,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
repairable_diffusion/src/data/math_bench.py,2493,2026-09-17T12:15:05.8825181350Z,a274a88f01e233faaed69e3353156d95e7a22f46c7c204460b0e9dd6ad340a1e
repairable_diffusion/src/repair/__init__.py,1,2026-09-17T12:15:05.8825181350Z,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
repairable_diffusion/src/repair/oracle.py,6786,2026-09-17T12:15:05.8825181350Z,d926e2f9098b5af28da26b18b016017bbc22cd3748d8dc2c04d3da46f3d6874d
repairable_diffusion/src/run_ar_baseline.py,6369,2026-09-17T12:15:05.8825181350Z,098859c101e3d77fb3320af8333166d59f9477c2134c6495f34f92ae95f16318
repairable_diffusion/src/run_pipeline.py,7507,2026-09-17T12:15:05.8825181350Z,a338ce131f303a6f930b234454310d049b084f9bfd904c5980158e5ce961d615
repairable_diffusion/src/run_protocol.py,14017,2026-09-17T12:22:27.6259884880Z,6b1624c9ffe7c059813647c02df8148bb29e8dd552731a99c8c3b2c5398cd166
repairable_diffusion/src/utils/__init__.py,1,2026-09-17T12:15:05.8825181350Z,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
repairable_diffusion/src/utils/io.py,1898,2026-09-17T12:15:05.8825181350Z,831bba8eda3c930a970ee2fbb6de848150a609d2094c0f1a57ab6906590da170
repairable_diffusion/src/utils/math_eval.py,2743,2026-09-17T12:15:05.8825181350Z,5f61bf63f4ab05fe26cf2a832ec57289e287769a42ff058bfe29acd7318758d3
